model,problem-type,valid_loss,iou,dice,iou_binary,iou_parts,iou_instruments,dice_binary,dice_parts,dice_instruments
AlbuNet,binary,0.293389932794186,0.8349586792465252,0.9091598451018756,,,,,,
LinkNet34,binary,0.29161858511157335,0.8345200761592209,0.9091595125559855,,,,,,
LinkNet34,instruments,39.552671292093066,0.16948434653403477,0.25448390244586433,,,,,,
LinkNet34,parts,1.48257707591686,0.7523647796302776,0.8498734509662369,,,,,,
TDSNet,all,15.814830091794331,,,0.4402233612420136,0.4368484155072637,0.09436761489399485,0.6097691212191719,0.5906874362662488,0.1592327464039111
UNet,binary,0.37204134771082964,0.7330653071115538,0.8457291099838986,,,,,,
UNet,instruments,41.29976148923238,0.11325457320322595,0.1873598949623742,,,,,,
UNet,parts,2.0618180320660273,0.5711799116297853,0.7092199255145191,,,,,,
UNet11,binary,0.2649892706429172,0.8555335521101859,0.9216257438982387,,,,,,
UNet11,instruments,40.188013442887204,0.16331118571658038,0.2523107048951003,,,,,,
UNet11,parts,1.34755125273433,0.7396667765430752,0.8416936600379092,,,,,,
UNet16,binary,0.252787831563813,0.8645228491329376,0.927096727164835,,,,,,
UNet16,instruments,40.1925848446952,0.18974583474800547,0.2778291748579755,,,,,,
UNet16,parts,1.2294428704575533,0.7768118607665252,0.8694127566115231,,,,,,
